:Data_list: 20200723_ace_mag_1m.txt
:Created: 2020 Jul 23 0100 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2020 07 23  0018   59053    1080    0     2.3     2.5     0.1     3.4     1.5    46.9
2020 07 23  0019   59053    1140    0     2.3     2.5    -0.1     3.4    -1.2    47.6
2020 07 23  0020   59053    1200    0     2.0     2.6    -0.0     3.3    -0.4    52.2
2020 07 23  0021   59053    1260    0     1.9     2.7    -0.1     3.3    -1.4    54.3
2020 07 23  0022   59053    1320    0     2.0     2.6    -0.3     3.3    -4.4    52.0
2020 07 23  0023   59053    1380    0     2.0     2.7    -0.2     3.3    -2.8    53.8
2020 07 23  0024   59053    1440    0     1.9     2.7    -0.3     3.4    -4.6    54.8
2020 07 23  0025   59053    1500    0     2.0     2.7    -0.1     3.4    -1.7    52.7
2020 07 23  0026   59053    1560    0     2.0     2.6    -0.2     3.3    -2.8    52.2
2020 07 23  0027   59053    1620    0     2.0     2.7    -0.0     3.4    -0.0    53.5
2020 07 23  0028   59053    1680    0     2.1     2.7     0.1     3.4     1.4    51.9
2020 07 23  0029   59053    1740    0     2.1     2.7     0.1     3.4     1.1    51.4
2020 07 23  0030   59053    1800    0     2.2     2.6     0.2     3.4     2.5    49.6
2020 07 23  0031   59053    1860    0     2.5     2.5     0.1     3.5     1.4    44.7
2020 07 23  0032   59053    1920    0     2.5     2.3    -0.2     3.4    -2.7    42.7
2020 07 23  0033   59053    1980    0     2.9     1.7    -0.4     3.3    -7.6    29.9
2020 07 23  0034   59053    2040    0     2.8     1.7    -0.6     3.3    -9.9    30.7
2020 07 23  0035   59053    2100    0     2.7     1.7    -0.7     3.2   -11.7    33.4
2020 07 23  0036   59053    2160    0     2.5     1.8    -0.6     3.1   -11.1    36.1
2020 07 23  0037   59053    2220    0     2.0     2.3    -0.0     3.0    -0.8    49.6
2020 07 23  0038   59053    2280    0     1.3     2.6     0.4     3.0     7.7    63.4
2020 07 23  0039   59053    2340    0     0.9     3.1     1.0     3.4    17.6    73.4
2020 07 23  0040   59053    2400    0     1.1     3.3     1.0     3.6    16.0    71.5
2020 07 23  0041   59053    2460    0     1.1     3.3     0.8     3.6    13.6    71.0
2020 07 23  0042   59053    2520    0     1.0     3.3     1.0     3.6    15.6    72.4
2020 07 23  0043   59053    2580    0     1.7     3.1     0.7     3.6    10.7    61.4
2020 07 23  0044   59053    2640    0     2.7     2.3    -0.1     3.6    -1.5    40.9
2020 07 23  0045   59053    2700    0     2.7     2.4     0.1     3.6     2.2    41.7
2020 07 23  0046   59053    2760    0     1.4     3.2     0.2     3.5     4.0    66.7
2020 07 23  0047   59053    2820    0     1.5     3.2    -0.0     3.5    -0.7    65.2
2020 07 23  0048   59053    2880    0     2.2     2.7     0.1     3.5     0.9    50.4
2020 07 23  0049   59053    2940    0     2.2     2.9    -0.1     3.6    -1.0    52.1
2020 07 23  0050   59053    3000    0     2.6     2.4    -0.2     3.6    -4.0    43.3
2020 07 23  0051   59053    3060    0     3.1     1.8    -0.3     3.6    -4.4    30.7
2020 07 23  0052   59053    3120    0     3.2     1.6    -0.2     3.6    -3.5    27.0
2020 07 23  0053   59053    3180    0     3.0     1.8    -0.2     3.5    -3.5    30.5
2020 07 23  0054   59053    3240    0     3.1     1.6    -0.3     3.5    -4.3    27.0
2020 07 23  0055   59053    3300    0     3.0     1.7     0.1     3.5     1.5    29.7
2020 07 23  0056   59053    3360    0     3.2     1.8     0.2     3.7     2.6    30.2
2020 07 23  0057   59053    3420    0     2.9     1.9     0.1     3.5     2.5    33.4
2020 07 23  0058   59053    3480    0     2.5     2.2     0.4     3.4     6.9    41.1
